mem_size,dim,window,steps,lr,reg,seed,updater,mse_mean,cos_mean,update_time,mem_norm_change
20,10,5,1000,0.01,0.0,0,Delta,0.5060562615643721,0.9871157546639442,0.013150453567504883,13.661354064941406
20,10,5,1000,0.01,0.0,0,Omega,4.687577602237463,0.6858392696211812,0.03812289237976074,9.463485717773438
20,10,5,1000,0.01,0.0,1,Delta,0.5714103001160548,0.9859913230240345,0.013247013092041016,14.556900024414062
20,10,5,1000,0.01,0.0,1,Omega,5.18316092915833,0.6716554459179169,0.03607463836669922,10.109301567077637
20,10,5,1000,0.01,0.1,0,Delta,0.6093236032361165,0.9868293460905552,0.013159513473510742,12.43093204498291
20,10,5,1000,0.01,0.1,0,Omega,4.691736882537604,0.6856839967352572,0.040807485580444336,9.326165199279785
20,10,5,1000,0.01,0.1,1,Delta,0.6932048573838547,0.9856789571046829,0.014362096786499023,13.264240264892578
20,10,5,1000,0.01,0.1,1,Omega,5.186461265549064,0.6714490293036215,0.04617190361022949,9.912181854248047
20,10,5,1000,0.1,0.0,0,Delta,0.13151279780920594,0.9918533695042133,0.014425516128540039,13.756324768066406
20,10,5,1000,0.1,0.0,0,Omega,4.687577602237463,0.6858392696211812,0.0380253791809082,9.463485717773438
20,10,5,1000,0.1,0.0,1,Delta,0.14218832931714132,0.9901463984549046,0.013262748718261719,14.57717227935791
20,10,5,1000,0.1,0.0,1,Omega,5.18316092915833,0.6716554459179169,0.03812432289123535,10.109301567077637
20,10,5,1000,0.1,0.1,0,Delta,0.2878813367392868,0.9870469509959221,0.013592004776000977,12.589019775390625
20,10,5,1000,0.1,0.1,0,Omega,4.691736882537604,0.6856839967352572,0.04055213928222656,9.326165199279785
20,10,5,1000,0.1,0.1,1,Delta,0.3189001211971045,0.9851714238524437,0.012898445129394531,13.301403045654297
20,10,5,1000,0.1,0.1,1,Omega,5.186461265549064,0.6714490293036215,0.03894758224487305,9.912181854248047
20,10,10,1000,0.01,0.0,0,Delta,0.5060562615643721,0.9871157546639442,0.013218164443969727,13.661354064941406
20,10,10,1000,0.01,0.0,0,Omega,315.9130582040893,0.9208892374727875,0.047530174255371094,28.633466720581055
20,10,10,1000,0.01,0.0,1,Delta,0.5714103001160548,0.9859913230240345,0.0134124755859375,14.556900024414062
20,10,10,1000,0.01,0.0,1,Omega,52.85383679516427,0.9208565218411386,0.04783368110656738,14.613212585449219
20,10,10,1000,0.01,0.1,0,Delta,0.6093236032361165,0.9868293460905552,0.013527631759643555,12.43093204498291
20,10,10,1000,0.01,0.1,0,Omega,0.7681369606880472,0.9590902627408504,0.044085025787353516,12.07529354095459
20,10,10,1000,0.01,0.1,1,Delta,0.6932048573838547,0.9856789571046829,0.01316523551940918,13.264240264892578
20,10,10,1000,0.01,0.1,1,Omega,0.7879305229084567,0.9582359277009964,0.04552626609802246,13.670394897460938
20,10,10,1000,0.1,0.0,0,Delta,0.13151279780920594,0.9918533695042133,0.013317584991455078,13.756324768066406
20,10,10,1000,0.1,0.0,0,Omega,315.9130582040893,0.9208892374727875,0.04729461669921875,28.633466720581055
20,10,10,1000,0.1,0.0,1,Delta,0.14218832931714132,0.9901463984549046,0.012871026992797852,14.57717227935791
20,10,10,1000,0.1,0.0,1,Omega,52.85383679516427,0.9208565218411386,0.046998023986816406,14.613212585449219
20,10,10,1000,0.1,0.1,0,Delta,0.2878813367392868,0.9870469509959221,0.013369560241699219,12.589019775390625
20,10,10,1000,0.1,0.1,0,Omega,0.7681369606880472,0.9590902627408504,0.043274641036987305,12.07529354095459
20,10,10,1000,0.1,0.1,1,Delta,0.3189001211971045,0.9851714238524437,0.014288663864135742,13.301403045654297
20,10,10,1000,0.1,0.1,1,Omega,0.7879305229084567,0.9582359277009964,0.047934770584106445,13.670394897460938
50,10,5,1000,0.01,0.0,0,Delta,0.560514271798078,0.9869222095161676,0.013632774353027344,22.677688598632812
50,10,5,1000,0.01,0.0,0,Omega,5.140084944173694,0.6883394204713404,0.038430213928222656,15.792648315429688
50,10,5,1000,0.01,0.0,1,Delta,0.5565462159644813,0.9862139192167669,0.0133056640625,22.627655029296875
50,10,5,1000,0.01,0.0,1,Omega,5.116143701270222,0.6794593280032277,0.03778576850891113,15.908819198608398
50,10,5,1000,0.01,0.1,0,Delta,0.6750874775201082,0.9866472486108542,0.013010978698730469,20.599451065063477
50,10,5,1000,0.01,0.1,0,Omega,5.146967330887914,0.6879619768336416,0.0417332649230957,15.614084243774414
50,10,5,1000,0.01,0.1,1,Delta,0.6711303963214159,0.9858641791585833,0.012740612030029297,20.612510681152344
50,10,5,1000,0.01,0.1,1,Omega,5.121930928349495,0.6792503553405405,0.04190707206726074,15.625566482543945
50,10,5,1000,0.1,0.0,0,Delta,0.16310513635585083,0.9912804779559374,0.01366424560546875,22.706501007080078
50,10,5,1000,0.1,0.0,0,Omega,5.140084944173694,0.6883394204713404,0.045220136642456055,15.792648315429688
50,10,5,1000,0.1,0.0,1,Delta,0.1521106983507052,0.9908733216151595,0.013382673263549805,22.631948471069336
50,10,5,1000,0.1,0.0,1,Omega,5.116143701270222,0.6794593280032277,0.03867149353027344,15.908819198608398
50,10,5,1000,0.1,0.1,0,Delta,0.32694567807763814,0.9867594776898623,0.013313055038452148,21.396387100219727
50,10,5,1000,0.1,0.1,0,Omega,5.146967330887914,0.6879619768336416,0.04191279411315918,15.614084243774414
50,10,5,1000,0.1,0.1,1,Delta,0.32408324045315384,0.9860547654423862,0.012441873550415039,20.901931762695312
50,10,5,1000,0.1,0.1,1,Omega,5.121930928349495,0.6792503553405405,0.0414736270904541,15.625566482543945
50,10,10,1000,0.01,0.0,0,Delta,0.560514271798078,0.9869222095161676,0.013309717178344727,22.677688598632812
50,10,10,1000,0.01,0.0,0,Omega,197.67609059132357,0.91353477645386,0.04912304878234863,25.498815536499023
50,10,10,1000,0.01,0.0,1,Delta,0.5565462159644813,0.9862139192167669,0.012635469436645508,22.627655029296875
50,10,10,1000,0.01,0.0,1,Omega,2428.4089555411656,0.9123480109134688,0.050144195556640625,22.644859313964844
50,10,10,1000,0.01,0.1,0,Delta,0.6750874775201082,0.9866472486108542,0.013167858123779297,20.599451065063477
50,10,10,1000,0.01,0.1,0,Omega,0.7794084561979399,0.9608058230876922,0.04564690589904785,20.64680290222168
50,10,10,1000,0.01,0.1,1,Delta,0.6711303963214159,0.9858641791585833,0.014684915542602539,20.612510681152344
50,10,10,1000,0.01,0.1,1,Omega,0.8242511128503829,0.9576457243561745,0.05117511749267578,21.311832427978516
50,10,10,1000,0.1,0.0,0,Delta,0.16310513635585083,0.9912804779559374,0.012734174728393555,22.706501007080078
50,10,10,1000,0.1,0.0,0,Omega,197.67609059132357,0.91353477645386,0.05005240440368652,25.498815536499023
50,10,10,1000,0.1,0.0,1,Delta,0.1521106983507052,0.9908733216151595,0.01372218132019043,22.631948471069336
50,10,10,1000,0.1,0.0,1,Omega,2428.4089555411656,0.9123480109134688,0.04855942726135254,22.644859313964844
50,10,10,1000,0.1,0.1,0,Delta,0.32694567807763814,0.9867594776898623,0.013444900512695312,21.396387100219727
50,10,10,1000,0.1,0.1,0,Omega,0.7794084561979399,0.9608058230876922,0.046993255615234375,20.64680290222168
50,10,10,1000,0.1,0.1,1,Delta,0.32408324045315384,0.9860547654423862,0.012809038162231445,20.901931762695312
50,10,10,1000,0.1,0.1,1,Omega,0.8242511128503829,0.9576457243561745,0.045439958572387695,21.311832427978516
